Change Managed Component Library Link : Designator=R208 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9BBD9324-2FD9-4648-9CB9-4BA0FDCD0C55 New ItemGUID=9AF59C1F-2B6B-4A1A-B22D-0FE1DF2BA36E Old RevisionGUID=0D350E83-63D1-4819-BF21-6329E1110050 New RevisionGUID=79D89B04-8A61-4220-B3AF-F3FCBA41D4A8
Change component parameters: Designator = "R208" ("R208"); Footprint = "RESC2013X60X35ML10T20"; UniqueID = "\XKRSHQMH\FMDOLYNE" ("\XKRSHQMH\FMDOLYNE")
Change component parameters (AddParameter): Name = "Case Style"; Value = "Molded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Rev. 7, 05/2017"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Failure Rate"; Value = "NotRequired"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "NotRequired"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp Range"; Value = "-55Cto155C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating(s)"; Value = "NotRequiredW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Depth (mm)"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Height (mm)"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Length (mm)"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "NotRequired"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "NotRequired"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance (+ or -)"; Value = "NotRequired"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "ThickFilm"; VariantName = "[No Variations]"
