Added Parameter Supplier= to Part C100
Added Parameter Supplier= to Part C101
Added Parameter Supplier= to Part C102
Added Parameter Supplier= to Part C103
Added Parameter Supplier= to Part C104
Added Parameter Supplier= to Part R100
Added Parameter Supplier= to Part R101
Added Parameter Supplier= to Part R102
Added Parameter Supplier= to Part R103
Added Parameter Supplier= to Part R104
Added Parameter Supplier= to Part SW100
Added Parameter Supplier= to Part U101
Added Parameter Supplier PN= to Part C100
Added Parameter Supplier PN= to Part C101
Added Parameter Supplier PN= to Part C102
Added Parameter Supplier PN= to Part C103
Added Parameter Supplier PN= to Part C104
Added Parameter Supplier PN= to Part R100
Added Parameter Supplier PN= to Part R101
Added Parameter Supplier PN= to Part R102
Added Parameter Supplier PN= to Part R103
Added Parameter Supplier PN= to Part R104
Added Parameter Supplier PN= to Part SW100
Added Parameter Supplier PN= to Part U101
